file	percent	reads	taxon_id	taxon_name
Bat-Guano-15_S6_L001_R_megahit.kaiju.out	17.647058	9	129951	Human mastadenovirus C
Bat-Guano-15_S6_L001_R_megahit.kaiju.out	5.882353	3	11588	Rift Valley fever virus
Bat-Guano-15_S6_L001_R_megahit.kaiju.out	3.921569	2	28295	Porcine epidemic diarrhea virus
Bat-Guano-15_S6_L001_R_megahit.kaiju.out	1.960784	1	561	Escherichia
Bat-Guano-15_S6_L001_R_megahit.kaiju.out	1.960784	1	53335	Pantoea
Bat-Guano-15_S6_L001_R_megahit.kaiju.out	1.960784	1	693999	Scotophilus bat coronavirus 512
Bat-Guano-15_S6_L001_R_megahit.kaiju.out	5.882353	3	NA	cannot be assigned to a (non-viral) genus
Bat-Guano-15_S6_L001_R_megahit.kaiju.out	60.784316	31	NA	unclassified
